Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
  232. 37/16   :        354 occurrences (  0.00%)
  233. 20/2    :        344 occurrences (  0.00%)
  234. 54/8    :        328 occurrences (  0.00%)
  235. 43/8    :        305 occurrences (  0.00%)
  236. 42/8    :        301 occurrences (  0.00%)
  237. 28/32   :        295 occurrences (  0.00%)
  238. 49/32   :        280 occurrences (  0.00%)
  239. 71/16   :        276 occurrences (  0.00%)
  240. 36/4    :        275 occurrences (  0.00%)
  241. 39/32   :        266 occurrences (  0.00%)
  242. 99/8    :        265 occurrences (  0.00%)
  243. 62/32   :        260 occurrences (  0.00%)
  244. 160/16  :        244 occurrences (  0.00%)
  245. 88/4    :        243 occurrences (  0.00%)
  246. 73/32   :        240 occurrences (  0.00%)
  247. 39/8    :        226 occurrences (  0.00%)
  248. 75/8    :        224 occurrences (  0.00%)
  249. 63/32   :        213 occurrences (  0.00%)
  250. 36/8    :        212 occurrences (  0.00%)
  251. 23/1    :        207 occurrences (  0.00%)
  252. 65/16   :        206 occurrences (  0.00%)
  253. 89/32   :        201 occurrences (  0.00%)
  254. 45/4    :        200 occurrences (  0.00%)
  255. 48/4    :        190 occurrences (  0.00%)
  256. 17/2    :        184 occurrences (  0.00%)
  257. 87/8    :        183 occurrences (  0.00%)
  258. 41/16   :        180 occurrences (  0.00%)
  259. 30/2    :        167 occurrences (  0.00%)
  260. 35/16   :        164 occurrences (  0.00%)
  261. 27/2    :        164 occurrences (  0.00%)
  262. 43/16   :        161 occurrences (  0.00%)
  263. 25/2    :        158 occurrences (  0.00%)
  264. 39/4    :        149 occurrences (  0.00%)
  265. 62/4    :        149 occurrences (  0.00%)
  266. 34/2    :        149 occurrences (  0.00%)
  267. 187/32  :        148 occurrences (  0.00%)
  268. 51/8    :        147 occurrences (  0.00%)
  269. 28/2    :        143 occurrences (  0.00%)
  270. 49/8    :        142 occurrences (  0.00%)
  271. 5/32    :        135 occurrences (  0.00%)
  272. 47/16   :        132 occurrences (  0.00%)
  273. 31/2    :        131 occurrences (  0.00%)
  274. 22/32   :        129 occurrences (  0.00%)
  275. 56/16   :        127 occurrences (  0.00%)
  276. 46/4    :        127 occurrences (  0.00%)
  277. 44/4    :        124 occurrences (  0.00%)
  278. 26/32   :        124 occurrences (  0.00%)
  279. 72/32   :        122 occurrences (  0.00%)
  280. 85/8    :        116 occurrences (  0.00%)
  281. 7/32    :        115 occurrences (  0.00%)
  282. 47/32   :        114 occurrences (  0.00%)
  283. 34/32   :        112 occurrences (  0.00%)
  284. 6/32    :        112 occurrences (  0.00%)
  285. 61/16   :        110 occurrences (  0.00%)
  286. 34/8    :        104 occurrences (  0.00%)
  287. 141/32  :        102 occurrences (  0.00%)
  288. 18/32   :         99 occurrences (  0.00%)
  289. 44/8    :         88 occurrences (  0.00%)
  290. 15/2    :         85 occurrences (  0.00%)
  291. 32/2    :         85 occurrences (  0.00%)
  292. 36/16   :         85 occurrences (  0.00%)
  293. 77/8    :         84 occurrences (  0.00%)
  294. 64/32   :         81 occurrences (  0.00%)
  295. 65/32   :         76 occurrences (  0.00%)
  296. 46/8    :         76 occurrences (  0.00%)
